Overall mesg ix,Timestamp (field 253) raw value,Timestamp (field 253) localtime string,Timestamp value that is compatible with Libre,Seconds diff from last value,ElapsedTimer in h:mm:ss,TotalTimer in h:mm:ss (pause time excluded),Mesg name,Mesg no,Mesg ix (field 253) if applicable,Event type and data,Distance in m,Enh speed in min/sec hh:mm:ss string,Enh speed in m/s value,Cadence
244,,,,,,,GPS_METADATA(160),160,,,,,,
245,,,,,,,unknownx(233),233,,,,,,
246,1144843989,2026-04-11 14:13:09,46123.592465277776,1,0:00:35,0:00:35,RECORD(20),20,,,81.8,0:06:52,2.426,37
247,,,,,,,GPS_METADATA(160),160,,,,,,
248,,,,,,,unknownx(233),233,,,,,,
249,1144843990,2026-04-11 14:13:10,46123.592476851850,1,0:00:36,0:00:36,RECORD(20),20,,,84.1,0:06:54,2.417,63
250,,,,,,,GPS_METADATA(160),160,,,,,,
251,,,,,,,unknownx(233),233,,,,,,
252,1144843991,2026-04-11 14:13:11,46123.592488425930,1,0:00:37,0:00:37,RECORD(20),20,,,86.7,0:06:54,2.417,74
253,,,,,,,GPS_METADATA(160),160,,,,,,
254,,,,,,,unknownx(233),233,,,,,,
255,1144843992,2026-04-11 14:13:12,46123.592500000000,1,0:00:38,0:00:38,RECORD(20),20,,,88.8,0:06:55,2.407,80
256,,,,,,,GPS_METADATA(160),160,,,,,,
257,,,,,,,unknownx(233),233,,,,,,
258,1144843993,2026-04-11 14:13:13,46123.592511574076,1,0:00:39,0:00:39,RECORD(20),20,,,91.3,0:06:52,2.426,83
259,,,,,,,GPS_METADATA(160),160,,,,,,
260,,,,,,,unknownx(233),233,,,,,,
261,1144843994,2026-04-11 14:13:14,46123.592523148150,1,0:00:40,0:00:40,DEVICE_INFO(23),23,,,,,,
262,1144843994,2026-04-11 14:13:14,46123.592523148150,0,0:00:40,0:00:40,RECORD(20),20,,,93.8,0:06:46,2.463,84
263,,,,,,,GPS_METADATA(160),160,,,,,,
264,,,,,,,unknownx(233),233,,,,,,
265,1144843995,2026-04-11 14:13:15,46123.592534722220,1,0:00:41,0:00:41,RECORD(20),20,,,96.1,0:06:46,2.463,84
266,,,,,,,GPS_METADATA(160),160,,,,,,
267,,,,,,,unknownx(233),233,,,,,,
268,1144843996,2026-04-11 14:13:16,46123.592546296290,1,0:00:42,0:00:42,RECORD(20),20,,,99.0,0:06:46,2.463,84
269,,,,,,,GPS_METADATA(160),160,,,,,,
270,,,,,,,unknownx(233),233,,,,,,
271,1144843997,2026-04-11 14:13:17,46123.592557870375,1,0:00:43,0:00:43,RECORD(20),20,,,101.4,0:06:41,2.491,20
272,,,,,,,GPS_METADATA(160),160,,,,,,
273,1144843997,2026-04-11 14:13:17,46123.592557870375,0,0:00:43,0:00:43,unknown(325),325,,,,,,
274,,,,,,,unknownx(233),233,,,,,,
275,1144843998,2026-04-11 14:13:18,46123.592569444445,1,0:00:44,0:00:44,RECORD(20),20,,,104.0,0:06:40,2.501,21
276,,,,,,,GPS_METADATA(160),160,,,,,,
277,,,,,,,unknownx(233),233,,,,,,
278,1144843999,2026-04-11 14:13:19,46123.592581018514,1,0:00:45,0:00:45,DEVICE_INFO(23),23,,,,,,
279,1144843999,2026-04-11 14:13:19,46123.592581018514,0,0:00:45,0:00:45,device_used(22),22,,,,,,
280,1144843999,2026-04-11 14:13:19,46123.592581018514,0,0:00:45,0:00:45,RECORD(20),20,,,106.0,0:06:41,2.491,0
281,,,,,,,GPS_METADATA(160),160,,,,,,
282,,,,,,,unknownx(233),233,,,,,,
283,1144844000,2026-04-11 14:13:20,46123.592592592590,1,0:00:46,0:00:46,RECORD(20),20,,,108.5,0:06:49,2.445,83
284,,,,,,,GPS_METADATA(160),160,,,,,,
285,,,,,,,unknownx(233),233,,,,,,
286,1144844001,2026-04-11 14:13:21,46123.592604166670,1,0:00:47,0:00:47,DEVICE_INFO(23),23,,,,,,
287,1144844001,2026-04-11 14:13:21,46123.592604166670,0,0:00:47,0:00:47,RECORD(20),20,,,111.2,0:06:49,2.445,83
288,,,,,,,GPS_METADATA(160),160,,,,,,
289,,,,,,,unknownx(233),233,,,,,,
290,1144844002,2026-04-11 14:13:22,46123.592615740740,1,0:00:48,0:00:48,RECORD(20),20,,,113.5,0:06:47,2.454,83
